edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
17031070300->17031832600,1.6010916134571735,2.148,0.5469083865428266,34.15846925597899,0,4.933333333333334,4.933333333333334,0
17031070300->17031071000,0.7090736708640836,1.09,0.3809263291359165,53.721685741301926,0,3.7,3.7,0
17031070300->17031071100,0.7686001689162586,1.067,0.29839983108374135,38.82380503565216,0,2.75,2.75,0
17031070300->17031071200,0.7648444356243187,1.112,0.3471555643756814,45.3890422948961,0,3.066666666666667,3.066666666666667,0
17031070300->17031063000,0.9059939374719846,1.22,0.31400606252801533,34.6587377178476,0,3.433333333333333,3.433333333333333,0
17031070300->17031063100,1.2489326073808389,1.679,0.43006739261916116,34.43479576700811,0,3.9833333333333334,3.9833333333333334,0
17031070300->17031832000,1.935807823014958,2.325,0.38919217698504216,20.104897415844096,0,5.766666666666667,5.766666666666667,0
17031070300->17031063303,1.3043252902352325,2.084,0.7796747097647676,59.77609386260959,0,5.466666666666667,5.466666666666667,0
17031070300->17031071400,1.310271463677768,1.621,0.3107285363222321,23.71482131268096,0,3.9,3.9,0
17031070300->17031070200,0.38604663620385815,0.542,0.1559533637961419,40.39754505561556,0,2.3833333333333333,2.3833333333333333,0
17031070300->17031060900,2.2326339835989675,2.627,0.3943660164010323,17.663711082876247,0,5.75,5.75,0
17031070300->17031070400,0.4807037222214637,0.552,0.07129627777853637,14.831646705179798,0,2.45,2.45,0
17031070300->17031070102,0.7262889942129257,1.285,0.5587110057870742,76.92681704375066,0,3.566666666666667,3.566666666666667,0
17031070300->17031061800,2.0322771449906454,2.502,0.4697228550093544,23.113129829126557,0,5.466666666666667,5.466666666666667,0
17031070300->17031071500,2.040999839650294,2.396,0.35500016034970594,17.393443813818813,0,6.133333333333334,6.133333333333334,0
17031070300->17031071300,1.0768271241214769,1.308,0.2311728758785232,21.467965535055058,0,3.55,3.55,0
17031070300->17031071800,1.4621080065998016,2.208,0.7458919934001986,51.01483543167268,0,5.633333333333334,5.633333333333334,0
17031070300->17031071600,1.5166652516716557,1.802,0.2853347483283444,18.813297661685784,0,4.95,4.95,0
17031070300->17031070103,0.7833311993521501,1.288,0.5046688006478499,64.42597984929408,0,3.8,3.8,0
17031070300->17031070101,0.8925869657194463,1.12,0.22741303428055382,25.47796943206016,0,4.116666666666666,4.116666666666666,0
17031070300->17031061901,1.7798228054195346,2.782,1.0021771945804654,56.307694874391444,0,6.3,6.3,0
17031070300->17031062200,1.6386797885416546,1.997,0.3583202114583455,21.866395983148912,0,5.483333333333333,5.483333333333333,0
17031070300->17031062900,1.1538556829475584,1.46,0.3061443170524416,26.532288359527506,0,4.166666666666667,4.166666666666667,0
17031070300->17031063400,0.8346797157242493,1.309,0.4743202842757507,56.82662167777545,0,3.9833333333333334,3.9833333333333334,0
17031070300->17031063301,0.9826315734597929,1.321,0.33836842654020705,34.434923086058596,0,4.416666666666667,4.416666666666667,0
17031070300->17031063302,1.119455421979843,1.809,0.689544578020157,61.59643023575199,0,4.433333333333334,4.433333333333334,0
17031070300->17031063200,1.285409207410705,1.785,0.49959079258929484,38.866283959149285,0,5.283333333333333,5.283333333333333,0
17031070300->17031062000,1.4779628699010319,1.808,0.3300371300989682,22.330542723381697,0,4.466666666666667,4.466666666666667,0
17031070300->17031062100,1.480641357934351,1.721,0.24035864206564916,16.233414038965826,0,4.05,4.05,0
17031070300->17031061902,1.7601155208917705,2.696,0.9358844791082297,53.171764466576576,0,6.133333333333334,6.133333333333334,0
