method,bundle_id,num_orders,total_demand,num_nodes
umst,0,4,10,8
umst,1,4,10,8
umst,2,3,10,5
umst,3,2,10,3
umst,4,4,10,7
umst,5,4,10,7
umst,6,5,10,10
umst,7,2,10,4
umst,8,2,10,4
umst,9,4,10,6
umst,10,3,10,5
umst,11,3,10,4
umst,12,2,10,4
umst,13,6,10,11
umst,14,2,10,4
umst,15,4,10,7
umst,16,3,10,4
umst,17,5,10,9
umst,18,4,10,7
umst,19,4,10,5
umst,20,2,10,3
umst,21,2,10,4
umst,22,3,10,5
umst,23,3,10,5
umst,24,4,10,8
umst,25,2,10,4
umst,26,3,10,6
umst,27,3,10,6
umst,28,4,10,6
umst,29,3,7,5
umst,30,1,4,2
full_graph,0,4,10,8
full_graph,1,4,10,8
full_graph,2,3,10,5
full_graph,3,2,10,3
full_graph,4,4,10,7
full_graph,5,4,10,7
full_graph,6,5,10,10
full_graph,7,2,10,4
full_graph,8,2,10,4
full_graph,9,4,10,6
full_graph,10,3,10,5
full_graph,11,3,10,4
full_graph,12,2,10,4
full_graph,13,6,10,11
full_graph,14,2,10,4
full_graph,15,4,10,7
full_graph,16,3,10,4
full_graph,17,5,10,9
full_graph,18,4,10,7
full_graph,19,4,10,5
full_graph,20,2,10,3
full_graph,21,2,10,4
full_graph,22,3,10,5
full_graph,23,3,10,5
full_graph,24,4,10,8
full_graph,25,2,10,4
full_graph,26,3,10,6
full_graph,27,3,10,6
full_graph,28,4,10,6
full_graph,29,3,7,5
full_graph,30,1,4,2
single_mst,0,4,10,8
single_mst,1,4,10,8
single_mst,2,3,10,5
single_mst,3,2,10,3
single_mst,4,4,10,7
single_mst,5,4,10,7
single_mst,6,5,10,10
single_mst,7,2,10,4
single_mst,8,2,10,4
single_mst,9,4,10,6
single_mst,10,3,10,5
single_mst,11,3,10,4
single_mst,12,2,10,4
single_mst,13,6,10,11
single_mst,14,2,10,4
single_mst,15,4,10,7
single_mst,16,3,10,4
single_mst,17,5,10,9
single_mst,18,4,10,7
single_mst,19,4,10,5
single_mst,20,2,10,3
single_mst,21,2,10,4
single_mst,22,3,10,5
single_mst,23,3,10,5
single_mst,24,4,10,8
single_mst,25,2,10,4
single_mst,26,3,10,6
single_mst,27,3,10,6
single_mst,28,4,10,6
single_mst,29,3,7,5
single_mst,30,1,4,2
