from_geoid,to_geoid,from_longitude,from_latitude,to_longitude,to_latitude,distance_meters,time_seconds,weight,distance_km,time_minutes
39049001110,39049001000,-83.01279606706105,40.0094681290053,-83.00452901784297,40.0103956014305,1016,207,222.626,1.016,3.45
39049001110,39049001121,-83.01279606706105,40.0094681290053,-83.01230072161665,40.00045262230653,1711,234,259.562,1.711,3.9
39049003000,39049002300,-82.99236835151807,39.973786476294,-82.98408722663842,39.98081951238195,7196,571,679.289,7.196,9.516666666666667
39049003000,39049002900,-82.99236835151807,39.973786476294,-82.97525356773775,39.97465669733348,8232,719,842.254,8.232,11.983333333333333
39049003000,39049002200,-82.99236835151807,39.973786476294,-83.00055377317632,39.982470204529754,3846,382,439.447,3.846,6.366666666666666
39049001121,39049001810,-83.01230072161665,40.00045262230653,-83.0127189313813,39.99210230198253,1793,335,362.384,1.793,5.583333333333333
39049001121,39049001200,-83.01230072161665,40.00045262230653,-83.00236893225473,40.00394748402827,1920,289,317.763,1.92,4.816666666666666
39049007830,39049001901,-83.04169910684054,39.99570169804188,-83.03044881467584,39.98885607729668,4391,504,570.105,4.391,8.4
39049007830,39049001902,-83.04169910684054,39.99570169804188,-83.04437297522169,39.99033781190799,5628,585,669.65,5.628,9.75
39049002200,39049002100,-83.00055377317632,39.982470204529754,-83.0068161064385,39.98091619543653,3367,410,460.417,3.367,6.833333333333333
39049002200,39049002300,-83.00055377317632,39.982470204529754,-82.98408722663842,39.98081951238195,3461,204,255.871,3.461,3.4
39049002200,39049001700,-83.00055377317632,39.982470204529754,-83.00315023380827,39.99037334385274,1456,162,184.303,1.456,2.7
39049001200,39049001000,-83.00236893225473,40.00394748402827,-83.00452901784297,40.0103956014305,3883,447,505.552,3.883,7.45
39049001200,39049001300,-83.00236893225473,40.00394748402827,-83.00093965606352,39.998113492276296,2459,235,272.191,2.459,3.9166666666666665
39049001902,39049001901,-83.04437297522169,39.99033781190799,-83.03044881467584,39.98885607729668,3064,352,397.545,3.064,5.866666666666666
39049001901,39049008500,-83.03044881467584,39.98885607729668,-83.02481605555556,39.977399922222226,1662,270,294.577,1.662,4.5
39049003200,39049002100,-83.01265576200394,39.976168812381246,-83.0068161064385,39.98091619543653,2617,340,379.404,2.617,5.666666666666667
39049003200,39049002000,-83.01265576200394,39.976168812381246,-83.0143745145339,39.98210217591521,1929,241,270.415,1.929,4.016666666666667
39049002000,39049008500,-83.0143745145339,39.98210217591521,-83.02481605555556,39.977399922222226,1662,270,294.577,1.662,4.5
39049002000,39049002100,-83.0143745145339,39.98210217591521,-83.0068161064385,39.98091619543653,2617,340,379.404,2.617,5.666666666666667
39049002000,39049001820,-83.0143745145339,39.98210217591521,-83.01283243937195,39.98781243419663,848,129,141.998,0.848,2.15
39049001300,39049001700,-83.00093965606352,39.998113492276296,-83.00315023380827,39.99037334385274,2090,254,285.781,2.09,4.233333333333333
39049001300,39049001600,-83.00093965606352,39.998113492276296,-82.99759147633876,39.99141805622689,2619,319,358.694,2.619,5.316666666666666
39049003600,39049002800,-82.97456529440608,39.9686719411892,-82.9646223007642,39.97327534723766,7627,534,648.356,7.627,8.9
39049003600,39049002900,-82.97456529440608,39.9686719411892,-82.97525356773775,39.97465669733348,5263,534,613.112,5.263,8.9
39049001400,39049001600,-82.98171686956303,39.9972712862475,-82.99759147633876,39.99141805622689,2843,359,401.347,2.843,5.983333333333333
39049001400,39049001500,-82.98171686956303,39.9972712862475,-82.9765621942945,39.995447450510405,707,157,167.54,0.707,2.6166666666666667
39049002300,39049001500,-82.98408722663842,39.98081951238195,-82.9765621942945,39.995447450510405,707,157,167.54,0.707,2.6166666666666667
39049002300,39049002900,-82.98408722663842,39.98081951238195,-82.97525356773775,39.97465669733348,4729,518,588.911,4.729,8.633333333333333
39049001700,39049001600,-83.00315023380827,39.99037334385274,-82.99759147633876,39.99141805622689,2843,359,401.347,2.843,5.983333333333333
39049001700,39049001810,-83.00315023380827,39.99037334385274,-83.0127189313813,39.99210230198253,1212,168,186.09,1.212,2.8
39049001700,39049001820,-83.00315023380827,39.99037334385274,-83.01283243937195,39.98781243419663,1259,144,163.197,1.259,2.4
39049001810,39049001820,-83.0127189313813,39.99210230198253,-83.01283243937195,39.98781243419663,1259,144,163.197,1.259,2.4
39049002900,39049002800,-82.97525356773775,39.97465669733348,-82.9646223007642,39.97327534723766,6369,493,588.43,6.369,8.216666666666667
39049002520,39049002510,-82.95808113941608,39.971578092894326,-82.9440296837069,39.99248827811448,8330,564,688.703,8.33,9.4
39049002520,39049002800,-82.95808113941608,39.971578092894326,-82.9646223007642,39.97327534723766,934,153,166.998,0.934,2.55
39049002800,39049002510,-82.9646223007642,39.97327534723766,-82.9440296837069,39.99248827811448,4703,416,486.183,4.703,6.933333333333334
