edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
17031030703->17031030706,0.2365251324375684,0.2365251324375684,0.0,0.0,0.4730502648751368,0.4730502648751368,0.0,0.0
17031030703->17031030800,0.5985315789173419,0.5985315789173419,0.0,0.0,1.1970631578346838,1.1970631578346838,0.0,0.0
17031030703->17031030701,0.44001406834503354,0.44001406834503354,0.0,0.0,0.8800281366900671,0.8800281366900671,0.0,0.0
17031030703->17031030702,0.3710318135726445,0.3710318135726445,0.0,0.0,0.742063627145289,0.742063627145289,0.0,0.0
17031030703->17031030603,0.7627359274302554,0.7627359274302554,0.0,0.0,1.5254718548605108,1.5254718548605108,0.0,0.0
17031030703->17031030604,1.0480252959809846,1.0480252959809846,0.0,0.0,2.096050591961969,2.096050591961969,0.0,0.0
17031030703->17031031100,1.1432002662504959,1.1432002662504959,0.0,0.0,2.2864005325009917,2.2864005325009917,0.0,0.0
17031030703->17031031300,1.2037872626977684,1.2037872626977684,0.0,0.0,2.4075745253955367,2.4075745253955367,0.0,0.0
17031030703->17031031200,1.3355605901689533,1.3355605901689533,0.0,0.0,2.6711211803379067,2.6711211803379067,0.0,0.0
17031030703->17031030601,1.3496575725887152,1.3496575725887152,0.0,0.0,2.6993151451774304,2.6993151451774304,0.0,0.0
17031030703->17031030500,1.2550227497587398,1.2550227497587398,0.0,0.0,2.5100454995174797,2.5100454995174797,0.0,0.0
17031030703->17031031501,2.0353418551875593,2.0353418551875593,0.0,0.0,4.070683710375119,4.070683710375119,0.0,0.0
17031050600->17031050500,0.3645301435483834,0.3645301435483834,0.0,0.0,0.7290602870967668,0.7290602870967668,0.0,0.0
17031050600->17031050700,0.5645648766644132,0.5645648766644132,0.0,0.0,1.1291297533288265,1.1291297533288265,0.0,0.0
17031050600->17031060300,0.6351872382354096,0.6351872382354096,0.0,0.0,1.2703744764708191,1.2703744764708191,0.0,0.0
17031050600->17031050100,1.07114099522146,1.07114099522146,0.0,0.0,2.14228199044292,2.14228199044292,0.0,0.0
17031050600->17031051200,1.1442700123577245,1.1442700123577245,0.0,0.0,2.288540024715449,2.288540024715449,0.0,0.0
17031050600->17031050800,1.1244027561953789,1.1244027561953789,0.0,0.0,2.2488055123907578,2.2488055123907578,0.0,0.0
17031050600->17031050900,1.1436922423666591,1.1436922423666591,0.0,0.0,2.2873844847333182,2.2873844847333182,0.0,0.0
17031050600->17031051100,1.3683555851329303,1.3683555851329303,0.0,0.0,2.7367111702658606,2.7367111702658606,0.0,0.0
17031050600->17031831900,1.2270707353259875,1.2270707353259875,0.0,0.0,2.454141470651975,2.454141470651975,0.0,0.0
17031050600->17031062500,1.445198070639376,1.445198070639376,0.0,0.0,2.890396141278752,2.890396141278752,0.0,0.0
17031050600->17031050200,1.4977054881278489,1.4977054881278489,0.0,0.0,2.9954109762556977,2.9954109762556977,0.0,0.0
17031050600->17031060200,1.6353966743667174,1.6353966743667174,0.0,0.0,3.270793348733435,3.270793348733435,0.0,0.0
17031830700->17031031501,0.5098804490433639,0.5098804490433639,0.0,0.0,1.0197608980867279,1.0197608980867279,0.0,0.0
17031830700->17031031700,0.7179749588401579,0.7179749588401579,0.0,0.0,1.4359499176803159,1.4359499176803159,0.0,0.0
17031830700->17031031502,0.6411220630541385,0.6411220630541385,0.0,0.0,1.282244126108277,1.282244126108277,0.0,0.0
17031830700->17031031200,0.800545713454502,0.800545713454502,0.0,0.0,1.601091426909004,1.601091426909004,0.0,0.0
17031830700->17031031300,1.1593253763136264,1.1593253763136264,0.0,0.0,2.318650752627253,2.318650752627253,0.0,0.0
