edge,geodesic_distance_km,gh_distance_km,distance_diff_km,distance_pct_change,geodesic_time_min,gh_time_min,time_diff_min,time_pct_change
36061022900->36061022000,2.219046463964832,2.219046463964832,0.0,0.0,0,0,0,0
36061022900->36061021800,2.4947180434065643,2.4947180434065643,0.0,0.0,0,0,0,0
36061022900->36061020000,2.06108444498989,2.06108444498989,0.0,0.0,0,0,0,0
36061022900->36061022400,1.864322630499239,1.864322630499239,0.0,0.0,0,0,0,0
36061022900->36061020800,2.0323218609512743,2.0323218609512743,0.0,0.0,0,0,0,0
36061022900->36061020102,2.3719837126280123,2.3719837126280123,0.0,0.0,0,0,0,0
36061022900->36061022600,1.5992840358817955,1.5992840358817955,0.0,0.0,0,0,0,0
36061022900->36061023200,1.3556091447269465,1.3556091447269465,0.0,0.0,0,0,0,0
36061022900->36061026500,2.903490753384854,2.903490753384854,0.0,0.0,0,0,0,0
36061022900->36005004100,2.7417179037250925,2.7417179037250925,0.0,0.0,0,0,0,0
36061022900->36061021900,1.074057620758565,1.074057620758565,0.0,0.0,0,0,0,0
36061022900->36061021500,1.3992217483517737,1.3992217483517737,0.0,0.0,0,0,0,0
36061022900->36061023100,0.42804225709731786,0.42804225709731786,0.0,0.0,0,0,0,0
36061022900->36061020901,1.6548970410508306,1.6548970410508306,0.0,0.0,0,0,0,0
36061022900->36005018101,2.8669249596880793,2.8669249596880793,0.0,0.0,0,0,0,0
36061022900->36061020101,2.2198806762142436,2.2198806762142436,0.0,0.0,0,0,0,0
36061022900->36061019000,2.696338197169979,2.696338197169979,0.0,0.0,0,0,0,0
36061022900->36061019500,2.8826668783548337,2.8826668783548337,0.0,0.0,0,0,0,0
36061022900->36061019300,2.9265791947901882,2.9265791947901882,0.0,0.0,0,0,0,0
36061022900->36061021600,2.8609737348751723,2.8609737348751723,0.0,0.0,0,0,0,0
36061022900->36061019702,2.7074798487883056,2.7074798487883056,0.0,0.0,0,0,0,0
36061022900->36061019701,2.3411142887578413,2.3411142887578413,0.0,0.0,0,0,0,0
36061022900->36061019900,2.5816144587987164,2.5816144587987164,0.0,0.0,0,0,0,0
36061022900->36061019600,2.7487444421468514,2.7487444421468514,0.0,0.0,0,0,0,0
36061022900->36061021400,1.560856782339023,1.560856782339023,0.0,0.0,0,0,0,0
36061022900->36061023000,1.215981296073796,1.215981296073796,0.0,0.0,0,0,0,0
